customer_id,credit_score,age,tenure,balance,products_number,active_member,estimated_salary,churn,total_transactions,avg_transaction_amount,digital_transactions,digital_txn_ratio,country_Germany,country_Spain,gender_Male
15634602,619,42,2,0.0,1,1,101348.88,1,176,19319.92613636364,46.0,0.2598870056497175,False,False,False
15647311,608,41,1,83807.86,1,1,112542.58,0,168,25064.67261904762,33.0,0.1952662721893491,False,True,False
15619304,502,42,8,159660.8,3,0,113931.57,1,171,25549.345029239765,39.0,0.2267441860465116,False,False,False
15701354,699,39,1,0.0,2,0,93826.63,0,96,23952.8125,29.0,0.2989690721649484,False,False,False
15737888,850,43,2,125510.82,1,1,79084.1,0,81,21097.024691358023,26.0,0.3170731707317073,False,True,False
15574012,645,44,8,113755.78,2,0,149756.71,1,54,33083.53703703704,17.0,0.3090909090909091,False,True,True
15592531,822,50,7,0.0,2,1,10062.8,0,228,22613.337719298244,55.0,0.2401746724890829,False,False,True
15656148,376,29,4,115046.74,4,0,119346.88,1,240,26031.9,52.0,0.2157676348547718,True,False,False
15792365,501,44,4,142051.07,2,1,74940.5,0,241,20937.63070539419,58.0,0.2396694214876033,False,False,True
15592389,684,27,2,134603.88,1,1,71725.73,0,228,26237.75,60.0,0.2620087336244541,False,False,True
15767821,528,31,6,102016.72,2,0,80181.12,0,273,21048.959706959708,65.0,0.2372262773722627,False,False,True
15737173,497,24,3,0.0,2,0,76390.01,0,148,23517.54054054054,26.0,0.174496644295302,False,True,True
15632264,476,34,10,0.0,2,0,26260.98,0,166,23636.67469879518,34.0,0.2035928143712574,False,False,False
15691483,549,25,5,0.0,2,0,190857.79,0,39,21485.46153846154,12.0,0.3,False,False,False
15600882,635,35,7,0.0,2,1,65951.65,0,213,27050.798122065728,63.0,0.2943925233644859,False,True,False
15643966,616,45,3,143129.41,2,1,64327.26,0,77,23275.74025974026,14.0,0.1794871794871795,True,False,True
15737452,653,58,1,132602.88,1,0,5097.67,1,28,14840.785714285714,8.0,0.2758620689655172,True,False,True
15788218,549,24,9,0.0,2,1,14406.41,0,69,25394.855072463768,22.0,0.3142857142857143,False,True,False
15661507,587,45,6,0.0,1,0,158684.81,0,182,20922.62637362637,36.0,0.1967213114754098,False,True,True
15568982,726,24,6,0.0,2,1,54724.03,0,197,21557.883248730963,53.0,0.2676767676767677,False,False,False
15577657,732,41,8,0.0,2,1,170886.17,0,253,25524.466403162056,70.0,0.2755905511811024,False,False,True
15597945,636,32,8,0.0,2,0,138555.46,0,207,25960.24154589372,54.0,0.2596153846153846,False,True,False
15699309,510,38,4,0.0,1,0,118913.53,1,159,20118.528301886792,34.0,0.2125,False,True,False
15725737,669,46,3,0.0,2,1,8487.75,0,153,29068.83660130719,48.0,0.3116883116883117,False,False,True
15625047,846,38,5,0.0,1,1,187616.16,0,286,25326.748251748253,76.0,0.2648083623693379,False,False,False
15738191,577,25,3,0.0,2,1,124508.29,0,220,21484.15,56.0,0.253393665158371,False,False,True
15736816,756,36,2,136815.64,1,1,170041.95,0,149,27676.765100671146,37.0,0.2466666666666666,True,False,True
15700772,571,44,9,0.0,2,0,38433.35,0,22,18839.31818181818,6.0,0.2608695652173913,False,False,True
15728693,574,43,3,141349.43,1,1,100187.43,0,52,18590.0,18.0,0.3396226415094339,True,False,False
15656300,411,29,0,59697.17,2,1,53483.21,0,221,21835.723981900454,66.0,0.2972972972972973,False,False,True
15589475,591,39,3,0.0,3,0,140469.38,1,44,26164.93181818182,13.0,0.2888888888888888,False,True,False
